A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,class
26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,160.0,150,1
28.92,0.375,u,g,c,v,0.29,f,f,0,f,g,220.0,140,0
20.83,0.5,y,p,e,dd,1.0,f,f,0,f,g,260.0,0,0
22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,180.0,173,0
54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0.0,284,1
29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,300.0,0,0
35.17,3.75,u,g,ff,ff,0.0,f,t,6,f,g,0.0,200,0
18.25,10.0,u,g,w,v,1.0,f,t,1,,g,120.0,1,0
24.58,1.25,u,g,c,v,0.25,f,f,0,f,g,110.0,0,0
28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0.0,225,0
40.0,6.5,u,g,aa,bb,3.5,t,t,1,f,g,0.0,500,1
47.33,6.5,u,g,c,v,1.0,f,f,0,t,g,0.0,228,0
59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,260.0,0,1
20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,49.0,0,1
18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,80.0,42,0
21.5,11.5,u,g,i,v,0.5,t,f,0,,g,100.0,68,0
35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711.0,0,1
26.58,2.54,y,p,ff,ff,0.0,f,f,0,t,g,180.0,60,0
20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,80.0,50,1
23.0,0.625,y,p,aa,v,0.125,t,f,0,f,g,180.0,1,0
26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,211.0,0,1
53.33,0.165,u,g,ff,ff,0.0,f,f,0,t,s,62.0,27,0
21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180.0,20,0
20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,140.0,184,0
26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,100.0,0,0
56.75,12.25,u,g,m,,1.25,t,t,4,t,g,200.0,0,1
,1.25,u,g,q,v,0.25,f,t,1,f,g,108.0,98,0
24.83,4.5,u,g,w,v,1.0,f,f,0,t,g,360.0,6,0
20.0,7.0,u,g,c,v,0.5,f,f,0,f,g,0.0,0,0
39.5,1.625,u,g,c,v,1.5,f,f,0,f,g,0.0,316,0
24.5,12.75,u,g,c,bb,4.75,t,t,2,f,g,73.0,444,1
21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,140.0,100,0
30.75,1.585,u,g,,v,0.585,f,f,0,t,s,0.0,0,0
31.67,0.83,u,g,x,,1.335,t,t,8,t,g,303.0,3290,1
,10.665,u,g,q,h,0.085,f,t,12,t,g,129.0,3,0
56.42,28.0,y,p,c,v,28.5,t,t,40,f,g,0.0,15,1
27.42,12.5,u,g,aa,bb,0.25,f,f,0,t,g,720.0,0,0
41.33,1.0,u,g,i,bb,2.25,t,f,0,t,g,0.0,300,1
20.67,3.0,u,g,q,v,0.165,t,t,3,f,g,100.0,6,1
30.0,5.29,u,g,e,dd,2.25,t,t,5,t,g,99.0,500,1
41.17,1.335,u,,d,,0.165,f,f,0,f,g,168.0,0,0
49.0,1.5,u,g,j,j,0.0,t,f,0,t,g,100.0,27,0
29.5,2.0,y,p,,h,2.0,f,f,0,f,g,256.0,17,0
34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,274.0,610,1
28.5,1.0,u,g,q,v,1.0,t,t,2,t,g,167.0,500,0
23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,208.0,347,0
52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,0.0,350,0
25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,140.0,258,1
16.08,0.335,u,g,ff,ff,0.0,f,t,1,f,g,160.0,126,0
32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,160.0,2072,1
19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,120.0,2206,1
,9.5,u,g,,v,1.75,f,t,10,t,g,,10,0
23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,,582,1
41.17,1.25,y,p,,v,0.25,f,f,0,f,g,0.0,195,0
25.08,1.71,u,g,,v,1.665,t,t,1,t,g,395.0,20,1
39.58,5.0,u,g,ff,ff,0.0,f,t,2,f,g,17.0,1,0
27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,487.0,500,1
29.25,13.0,u,g,d,h,0.5,f,f,0,f,g,228.0,0,0
36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,320.0,0,1
27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200.0,0,0
23.08,2.5,u,g,ff,ff,0.085,f,f,0,t,g,100.0,4208,0
50.75,0.585,u,g,ff,,0.0,f,f,0,f,g,145.0,0,0
40.83,10.0,u,g,q,h,1.75,t,f,0,f,g,29.0,837,1
,1.125,u,g,x,h,1.25,t,f,0,f,g,0.0,5298,1
18.92,9.25,y,p,c,v,1.0,t,t,4,t,g,80.0,500,1
30.67,12.0,u,g,c,v,2.0,t,t,1,f,g,220.0,19,1
32.17,1.46,u,g,w,v,1.085,t,t,16,f,g,120.0,2079,1
57.58,2.0,u,g,ff,ff,6.5,f,t,1,f,g,0.0,10,0
19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,96.0,0,1
25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,260.0,15108,1
,1.25,u,g,c,h,0.25,f,t,2,t,g,400.0,108,0
34.0,4.5,u,g,aa,v,1.0,t,f,0,t,g,240.0,0,0
58.67,4.46,u,g,,h,3.04,t,t,6,f,g,43.0,560,1
15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,120.0,0,0
42.83,1.25,u,g,m,v,13.875,f,t,1,t,g,352.0,112,0
17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,160.0,8,0
20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160.0,0,0
20.5,11.835,u,g,c,h,6.0,t,f,0,f,g,340.0,0,1
21.42,0.75,y,p,r,n,0.75,f,f,0,t,g,132.0,2,0
27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,399.0,827,1
48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,0.0,2690,1
30.42,1.375,,g,w,h,0.04,f,t,3,f,g,0.0,33,0
17.92,0.54,u,g,,v,1.75,f,t,1,t,g,80.0,5,0
30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,340.0,0,0
28.5,3.04,y,p,x,h,2.54,t,t,1,f,g,70.0,0,1
23.75,0.415,y,p,c,v,0.04,f,t,2,f,g,128.0,6,0
20.33,10.0,u,g,c,h,1.0,t,t,4,f,g,50.0,1465,1
31.58,0.75,y,p,aa,v,3.5,f,f,0,,g,320.0,0,0
,5.25,u,g,w,,0.085,f,f,0,t,g,290.0,6,1
18.83,3.54,y,p,ff,ff,0.0,f,f,0,t,g,180.0,1,0
17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,80.0,0,0
18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,60.0,540,1
27.33,1.665,u,g,ff,ff,0.0,f,f,0,f,g,340.0,1,0
27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,180.0,50,0
33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,180.0,18027,1
39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,117.0,1210,1
22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,160.0,0,0
60.08,14.5,u,g,ff,ff,18.0,t,t,15,t,g,0.0,1000,1
25.0,12.5,u,g,aa,v,3.0,t,f,0,t,s,20.0,0,1
33.75,2.75,u,g,i,bb,0.0,f,f,0,f,g,180.0,0,0
25.33,2.085,,g,c,h,2.75,t,f,0,t,g,360.0,1,0
34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,348.0,0,0
33.67,0.375,u,g,cc,,0.375,f,f,0,f,g,300.0,44,1
37.5,0.835,,g,e,v,0.04,f,f,0,f,g,120.0,5,0
29.83,3.5,u,g,c,v,0.165,f,f,0,f,g,216.0,0,0
51.33,10.0,u,g,i,bb,0.0,t,t,11,f,g,0.0,1249,1
19.67,0.375,u,g,,v,2.0,t,t,2,t,g,80.0,0,1
32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,280.0,0,0
24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260.0,0,0
29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,240.0,100,1
53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,0.0,0,1
20.08,1.25,u,g,c,v,0.0,f,f,0,f,g,0.0,0,0
24.08,9.0,u,g,aa,v,0.25,f,f,0,t,g,0.0,0,0
23.58,0.585,y,p,ff,ff,0.125,f,f,0,f,g,120.0,87,0
47.75,8.0,u,g,c,v,7.875,t,t,6,t,g,0.0,1260,1
25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,272.0,444,0
17.08,3.29,u,g,,v,0.335,f,f,0,t,g,140.0,2,0
29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329.0,0,0
32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420.0,0,0
26.67,1.75,y,p,c,v,1.0,t,t,5,t,g,160.0,5777,1
33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164.0,31285,1
27.83,1.0,y,p,d,h,3.0,f,f,0,f,g,176.0,537,0
41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,510.0,600,1
24.75,3.0,u,g,q,h,1.835,t,t,19,f,g,0.0,500,1
30.5,6.5,u,g,c,bb,4.0,t,t,7,t,g,0.0,3065,1
,0.625,u,g,k,v,0.25,f,f,0,,g,380.0,2010,0
37.58,0.0,,,,,0.0,f,f,0,f,p,,0,1
24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,280.0,824,1
25.17,6.0,u,g,c,v,1.0,t,t,3,f,g,0.0,0,1
26.17,12.5,y,p,k,h,1.25,f,f,0,t,g,0.0,17,0
18.92,9.0,,g,aa,v,0.75,t,t,2,f,g,88.0,591,1
24.42,2.0,u,g,e,dd,0.165,f,t,2,f,g,320.0,1300,0
19.0,1.75,y,p,c,v,2.335,f,f,0,,g,112.0,6,0
35.75,0.915,u,g,aa,v,0.75,t,t,4,f,g,0.0,1583,1
39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288.0,0,0
28.08,15.0,y,p,e,z,0.0,t,f,0,f,g,0.0,13212,1
29.83,2.04,y,p,x,h,0.04,f,f,0,f,g,128.0,1,0
39.08,6.0,u,,m,v,1.29,t,t,5,t,g,108.0,1097,1
22.83,2.29,u,g,q,h,2.29,t,t,7,t,g,140.0,2384,1
26.67,14.585,u,g,i,bb,0.0,f,f,0,t,g,178.0,0,0
24.58,0.67,u,g,aa,h,1.75,t,f,0,f,g,400.0,0,0
26.0,1.0,u,g,q,v,1.75,t,f,0,t,g,280.0,0,1
22.67,0.75,u,g,i,v,1.585,f,t,1,t,g,400.0,9,0
52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200.0,100,0
26.75,2.0,u,g,d,v,0.75,f,f,0,t,g,,0,0
26.17,0.835,u,g,cc,v,1.165,f,f,0,f,g,100.0,0,0
68.67,15.0,u,g,e,z,0.0,t,t,14,f,g,0.0,3376,1
45.0,8.5,u,g,cc,h,14.0,t,t,1,t,g,88.0,2000,1
26.83,0.54,u,g,k,ff,0.0,f,f,0,f,g,100.0,0,0
65.17,14.0,u,g,ff,ff,0.0,t,t,11,t,g,0.0,1400,1
39.17,2.5,y,p,i,h,10.0,f,f,0,t,s,200.0,0,0
44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,0.0,0,1
35.0,2.5,u,g,i,v,1.0,f,f,0,t,g,210.0,0,0
48.75,26.335,y,p,ff,ff,0.0,t,f,0,t,g,0.0,0,0
30.33,0.5,u,g,d,h,0.085,f,f,0,t,s,252.0,0,0
33.08,1.625,u,g,d,,0.54,f,f,0,t,g,0.0,0,0
21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,280.0,204,0
20.42,7.5,u,g,k,v,1.5,t,t,1,f,g,160.0,234,1
58.42,21.0,u,g,i,bb,10.0,t,t,13,f,g,0.0,6700,1
23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160.0,25,0
23.58,0.83,u,g,q,v,0.415,f,t,1,t,g,200.0,11,0
32.33,3.5,u,g,k,v,0.5,f,f,0,t,g,232.0,0,0
69.17,9.0,,g,ff,ff,4.0,f,t,1,f,g,70.0,6,0
22.92,11.585,u,g,cc,v,0.04,t,f,0,,g,80.0,1349,1
33.58,2.75,u,g,,v,4.25,t,t,6,f,g,204.0,0,1
21.83,1.54,u,g,,v,0.085,f,f,0,,g,356.0,0,0
57.08,0.335,u,g,i,bb,1.0,t,f,0,t,g,252.0,2197,0
34.83,2.5,y,p,w,v,3.0,f,f,0,f,s,200.0,0,0
25.92,0.875,u,g,k,v,0.375,f,t,2,t,g,174.0,3,0
31.67,16.165,u,g,d,v,3.0,t,t,9,f,g,250.0,730,1
15.83,0.585,u,,c,h,1.5,t,t,2,f,g,100.0,0,1
22.08,11.46,u,g,k,v,1.585,f,f,0,t,g,100.0,1212,0
18.83,4.415,y,p,c,h,3.0,t,f,0,f,g,240.0,0,1
32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,408.0,1000,1
44.83,7.0,y,p,c,v,1.625,f,f,0,f,g,160.0,2,0
21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,80.0,0,1
,10.5,u,g,q,v,5.0,t,t,7,t,g,0.0,0,1
22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,120.0,809,0
30.17,6.5,u,,cc,v,3.125,t,t,8,f,g,330.0,1200,1
41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,240.0,237,0
29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,240.0,0,0
,0.585,u,g,ff,ff,0.0,f,t,3,f,g,350.0,769,0
30.25,5.5,u,g,k,v,5.5,f,f,0,t,s,100.0,0,0
50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,156.0,0,1
27.25,0.29,u,g,m,h,0.125,f,t,1,t,g,272.0,108,0
43.17,2.25,u,g,i,bb,0.75,t,f,0,f,g,560.0,0,0
21.5,6.0,u,g,aa,v,2.5,t,t,3,f,g,80.0,918,1
22.08,11.0,u,g,cc,v,0.665,t,f,0,f,g,100.0,0,1
58.33,10.0,u,,q,v,4.0,t,t,14,f,g,0.0,1602,1
,4.0,y,p,i,v,0.085,f,f,0,t,g,411.0,0,0
28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280.0,0,0
38.25,6.0,u,g,k,v,1.0,t,f,0,t,g,0.0,0,1
24.17,0.875,u,g,q,v,4.625,t,t,2,t,g,,2000,1
27.67,1.5,u,g,m,v,2.0,t,f,0,f,s,368.0,0,0
,0.25,u,g,d,h,0.665,t,f,0,t,g,0.0,0,1
,7.0,u,g,c,,0.165,f,f,0,f,g,160.0,0,0
32.08,4.0,u,g,m,v,2.5,t,f,0,t,g,360.0,0,1
23.58,1.79,u,g,c,v,0.54,f,f,0,t,g,136.0,1,0
18.08,0.375,l,gg,cc,,10.0,f,f,0,t,s,300.0,0,1
38.75,1.5,u,g,ff,ff,0.0,f,f,0,f,g,76.0,0,0
39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,70.0,0,1
18.42,10.415,y,p,aa,v,0.125,t,f,0,f,g,120.0,375,0
34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443.0,0,0
33.17,1.0,u,g,x,v,0.75,t,t,7,t,g,340.0,4071,1
27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,100.0,3,1
63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,180.0,0,0
34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,280.0,2000,1
17.67,0.0,y,p,j,ff,0.0,f,f,0,f,g,86.0,0,0
26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,640.0,4000,0
28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171.0,0,0
18.83,0.0,u,g,q,v,0.665,f,f,0,f,g,160.0,1,0
33.92,1.585,y,p,ff,ff,0.0,t,f,0,f,g,320.0,0,0
20.42,7.0,u,g,c,v,1.625,t,t,3,f,g,200.0,1391,1
35.25,3.165,,g,x,h,3.75,t,f,0,t,g,680.0,0,0
47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,333.0,892,1
34.25,3.0,u,g,cc,h,7.415,t,f,0,t,g,0.0,0,1
31.83,0.04,y,p,m,v,0.04,f,f,0,f,g,0.0,0,0
,10.5,u,g,x,v,6.5,t,f,0,,g,0.0,0,1
17.58,10.0,,g,w,h,0.165,f,t,1,f,g,120.0,1,0
19.67,10.0,y,p,k,h,0.835,t,f,0,t,g,140.0,0,0
18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,,26726,1
23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,100.0,0,1
39.33,5.875,u,g,,h,10.0,t,t,14,t,g,399.0,0,1
21.08,10.085,y,p,e,h,1.25,f,f,0,f,g,260.0,0,0
18.0,0.165,u,g,q,n,0.21,f,f,0,f,g,200.0,40,1
,4.0,u,g,x,v,5.0,t,t,3,t,g,290.0,2279,1
19.42,1.5,y,p,cc,v,2.0,t,f,0,t,g,100.0,20,0
22.5,0.125,y,p,k,v,0.125,f,f,0,f,g,200.0,70,0
25.67,0.29,y,p,c,v,1.5,f,f,0,t,g,160.0,0,0
31.33,19.5,u,g,c,v,7.0,t,t,16,f,g,0.0,5000,1
23.92,1.5,u,g,d,h,1.875,t,t,6,f,g,200.0,327,1
18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,100.0,0,1
25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,0.0,7059,1
20.5,2.415,u,g,c,v,2.0,t,t,11,t,g,200.0,3000,1
21.92,0.5,u,g,c,v,0.125,f,f,0,f,g,360.0,0,0
22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,129.0,3257,1
23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,120.0,245,1
18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,120.0,0,0
24.75,0.54,u,g,m,v,1.0,f,f,0,t,g,120.0,1,0
,0.54,u,g,cc,v,0.04,t,f,0,f,g,440.0,11177,1
26.5,2.71,y,p,,,0.085,f,f,0,f,s,80.0,0,0
25.25,1.0,u,g,aa,v,0.5,f,f,0,f,g,200.0,0,0
22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,0.0,560,1
36.67,2.0,u,g,i,v,0.25,f,f,0,t,g,221.0,0,0
47.67,0.29,u,g,c,bb,15.0,t,t,20,f,g,0.0,15000,1
,3.0,y,p,i,bb,7.0,f,f,0,f,g,0.0,1,0
29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,260.0,200,1
25.75,0.5,u,,c,v,1.46,t,t,5,t,g,312.0,0,1
41.42,5.0,u,g,q,h,5.0,t,t,6,t,g,470.0,0,1
33.0,2.5,y,p,w,v,7.0,f,f,0,t,g,280.0,0,0
,0.165,u,g,q,v,0.04,f,f,0,t,g,380.0,0,0
41.5,1.54,u,g,i,bb,3.5,f,f,0,f,g,216.0,0,1
19.17,4.0,y,p,i,v,1.0,f,f,0,t,g,360.0,1000,0
