A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,class
48.5,4.25,u,g,,v,0.125,t,f,0,t,g,225.0,0,1
80.25,5.5,u,g,,,0.54,t,f,0,f,g,0.0,340,0
16.0,0.165,u,g,aa,v,1.0,f,t,2,t,g,320.0,1,0
29.58,4.5,u,g,w,v,7.5,t,t,2,t,g,330.0,0,1
27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,583.0,713,1
23.5,9.0,u,g,q,v,8.5,t,t,5,t,g,120.0,0,1
21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840.0,59,1
42.17,5.04,u,g,q,h,12.75,t,f,0,t,g,92.0,0,1
19.0,0.0,y,p,ff,ff,0.0,f,t,4,f,g,45.0,1,0
31.0,2.085,u,g,c,v,0.085,f,f,0,f,g,300.0,0,0
24.58,13.5,y,p,,ff,0.0,f,f,0,f,g,,0,0
24.83,2.75,u,g,c,v,2.25,t,t,6,,g,,600,1
28.0,3.0,u,g,w,v,0.75,f,f,0,t,g,300.0,67,0
28.0,2.0,u,g,k,h,4.165,t,t,2,t,g,181.0,0,1
24.92,1.25,u,g,ff,ff,0.0,t,f,0,f,g,80.0,0,0
22.42,11.25,y,p,x,h,0.75,t,t,4,f,g,0.0,321,1
40.58,3.29,u,g,m,v,3.5,f,f,0,t,s,400.0,0,0
16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,200.0,0,0
76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,0.0,109,1
28.58,1.665,u,g,q,v,2.415,t,f,0,t,g,440.0,0,0
37.75,7.0,u,g,q,h,11.5,t,t,7,t,g,300.0,5,0
45.0,4.585,u,g,k,h,1.0,f,f,0,t,s,240.0,0,0
34.25,1.75,u,g,w,bb,0.25,t,f,0,t,g,163.0,0,0
18.5,2.0,u,g,i,v,1.5,t,t,2,f,g,120.0,300,1
52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0.0,11202,1
18.33,1.21,y,p,e,dd,0.0,f,f,0,f,g,100.0,0,0
25.33,0.58,u,g,c,v,0.29,t,t,7,t,g,96.0,5124,1
,1.835,u,g,j,j,0.0,f,t,1,f,g,200.0,53,0
29.58,1.75,y,p,k,v,1.25,f,f,0,t,g,280.0,0,0
,0.0,y,p,m,bb,0.0,f,f,0,t,s,500.0,1,1
51.83,3.0,y,p,ff,ff,1.5,f,f,0,f,g,180.0,4,0
22.5,11.5,y,p,m,v,1.5,f,f,0,t,g,0.0,4000,0
54.58,9.415,u,g,ff,ff,14.415,t,t,11,,g,30.0,300,1
18.17,10.0,y,p,q,h,0.165,f,f,0,f,g,340.0,0,0
25.0,0.875,u,g,x,h,1.04,t,f,0,t,g,160.0,5860,1
36.58,0.29,u,g,ff,ff,0.0,f,t,10,f,g,200.0,18,0
32.25,1.5,u,g,c,v,0.25,f,f,0,t,g,372.0,122,0
31.08,3.085,u,g,c,v,2.5,f,t,2,t,g,160.0,41,0
23.42,0.585,u,g,c,h,0.085,t,f,0,f,g,180.0,0,0
26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,120.0,0,1
30.08,1.04,y,p,i,bb,0.5,t,t,10,t,g,132.0,28,0
48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,120.0,14,1
59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,60.0,58,1
23.08,0.0,u,g,k,v,1.0,f,t,11,f,s,0.0,0,0
25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,491.0,0,1
51.83,2.04,y,p,ff,ff,1.5,f,f,0,f,g,120.0,1,0
32.42,2.165,y,p,k,ff,0.0,f,f,0,f,g,120.0,0,0
23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,56.0,742,1
22.0,0.79,u,g,w,v,0.29,f,t,1,f,g,420.0,283,0
29.5,1.085,y,p,x,v,1.0,f,f,0,f,g,280.0,13,0
31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,200.0,4,0
36.75,5.125,u,g,e,v,5.0,t,f,0,t,g,0.0,4000,1
49.17,2.29,u,g,ff,ff,0.29,f,f,0,f,g,200.0,3,0
40.58,1.5,u,g,i,bb,0.0,f,f,0,f,s,300.0,0,0
21.67,11.5,y,p,j,j,0.0,t,t,11,t,g,0.0,0,1
28.58,3.625,u,,aa,v,0.25,f,f,0,t,g,100.0,0,0
39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,200.0,1000,1
44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400.0,0,0
51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,73.0,0,0
27.0,0.75,u,g,c,h,4.25,t,t,3,t,g,312.0,150,1
25.17,3.0,u,g,c,v,1.25,f,t,1,f,g,0.0,22,0
33.58,0.25,u,g,i,bb,4.0,f,f,0,t,s,420.0,0,0
35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,150.0,1270,1
33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,0.0,0,1
43.08,0.375,y,p,c,v,0.375,t,t,8,t,g,300.0,162,1
20.17,9.25,u,g,c,v,1.665,t,t,3,t,g,40.0,28,1
48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,380.0,2732,1
17.92,10.21,u,g,ff,ff,0.0,f,f,0,f,g,0.0,50,0
22.92,0.17,u,g,m,v,0.085,f,f,0,f,s,0.0,0,0
20.42,0.0,,,,,0.0,f,f,0,f,p,,0,0
27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,120.0,11,1
40.58,5.0,u,g,c,,5.0,t,t,7,f,g,0.0,3065,1
24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180.0,147,0
20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,60.0,158,1
28.92,15.0,u,g,c,h,5.335,t,t,11,f,g,0.0,2283,1
22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,60.0,396,1
23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,0.0,5552,0
42.0,9.79,u,g,x,h,7.96,t,t,8,f,g,0.0,0,1
49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0.0,5000,1
36.08,2.54,u,g,ff,ff,0.0,f,f,0,f,g,0.0,1000,0
47.0,13.0,u,g,i,bb,5.165,t,t,9,t,g,0.0,0,1
22.25,9.0,u,g,aa,v,0.085,f,f,0,f,g,0.0,0,0
42.75,4.085,u,g,aa,v,0.04,f,f,0,f,g,108.0,100,0
44.0,2.0,u,g,m,v,1.75,t,t,2,t,g,0.0,15,1
26.33,13.0,u,g,e,dd,0.0,f,f,0,t,g,140.0,1110,0
22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,144.0,0,0
47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,410.0,2510,1
37.17,4.0,u,g,c,bb,5.0,t,f,0,t,s,280.0,0,0
38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,,390,0
28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,280.0,0,1
31.08,1.5,y,,w,v,0.04,f,f,0,f,s,160.0,0,0
35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,220.0,1,0
40.25,21.5,u,g,e,z,20.0,t,t,11,f,g,0.0,1200,1
23.25,4.0,u,g,c,bb,0.25,t,f,0,t,g,160.0,0,1
25.83,12.835,u,g,cc,v,0.5,f,f,0,f,g,0.0,2,0
23.17,0.0,,,,,0.0,f,f,0,f,p,,0,1
20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,100.0,150,1
56.5,16.0,u,g,j,ff,0.0,t,t,15,f,g,0.0,247,1
40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,1160.0,0,0
38.92,1.75,u,g,k,v,0.5,f,f,0,t,g,300.0,2,0
21.83,11.0,u,g,x,v,0.29,t,t,6,f,g,121.0,0,1
23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240.0,4,0
60.92,5.0,u,g,aa,v,4.0,t,t,4,f,g,0.0,99,1
55.75,7.08,u,g,k,h,6.75,t,t,3,t,g,100.0,50,0
36.0,1.0,u,g,c,v,2.0,t,t,11,f,g,0.0,456,1
23.75,12.0,u,g,c,v,2.085,f,f,0,f,s,80.0,0,0
25.0,12.0,u,g,k,v,2.25,t,t,2,t,g,120.0,5,0
34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,0.0,221,1
24.08,0.875,u,g,m,v,0.085,f,t,4,f,g,254.0,1950,0
23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,80.0,400,1
55.92,11.5,u,g,ff,ff,5.0,t,t,5,f,g,0.0,8851,1
23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,160.0,300,1
38.58,5.0,u,g,cc,v,13.5,t,f,0,t,g,980.0,0,0
23.0,11.75,u,g,x,h,0.5,t,t,2,t,g,300.0,551,1
23.5,1.5,u,g,w,v,0.875,f,f,0,t,g,160.0,0,0
22.75,11.5,u,g,i,v,0.415,f,f,0,f,g,0.0,0,0
48.33,12.0,u,g,m,v,16.0,t,f,0,f,s,110.0,0,1
19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,80.0,99,1
34.0,5.5,y,p,c,v,1.5,f,f,0,t,g,60.0,0,0
26.92,13.5,u,g,q,h,5.0,t,t,2,f,g,0.0,5000,1
34.75,15.0,u,g,r,n,5.375,t,t,9,t,g,0.0,134,1
16.92,0.335,y,p,k,v,0.29,f,f,0,f,s,200.0,0,0
47.83,4.165,u,g,x,bb,0.085,f,f,0,t,g,520.0,0,0
,0.125,u,g,q,v,1.0,f,t,1,f,g,240.0,768,1
15.17,7.0,u,g,e,v,1.0,f,f,0,f,g,600.0,0,0
44.33,0.0,u,g,c,v,2.5,t,f,0,f,g,0.0,0,1
27.17,1.25,u,g,ff,ff,0.0,f,t,1,f,g,92.0,300,0
,6.75,y,p,m,v,0.04,f,f,0,f,g,140.0,0,0
48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,0.0,120,0
46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,440.0,6,1
28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,300.0,1430,1
29.5,0.58,u,g,w,,0.29,f,t,1,f,g,340.0,2803,0
,5.0,u,g,,h,7.5,t,t,6,t,g,0.0,1000,1
52.5,7.0,u,g,aa,h,3.0,f,f,0,f,g,0.0,0,0
28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,144.0,7,1
40.92,0.835,u,g,ff,ff,0.0,t,f,0,f,g,130.0,1,0
25.75,0.75,u,g,c,bb,0.25,t,f,0,f,g,349.0,23,1
22.25,0.46,u,g,k,v,0.125,f,f,0,t,g,280.0,55,0
34.58,0.0,,,,,0.0,f,f,0,f,p,,0,0
35.25,16.5,y,p,c,v,4.0,t,f,0,f,g,80.0,0,0
28.25,5.125,u,g,x,v,4.75,t,t,2,,g,420.0,7,1
42.5,4.915,y,p,w,v,3.165,t,f,0,t,g,52.0,1442,1
16.25,0.0,y,p,aa,v,0.25,f,f,0,f,g,60.0,0,0
47.17,5.835,u,g,w,v,5.5,f,f,0,f,g,465.0,150,0
34.08,2.5,u,g,c,v,1.0,f,f,0,,g,460.0,16,0
22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,100.0,0,1
48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0.0,790,1
,5.0,y,p,aa,,8.5,t,f,0,f,g,0.0,0,0
65.42,11.0,u,g,e,z,20.0,t,t,7,t,g,22.0,0,1
27.67,0.75,u,g,q,h,0.165,f,f,0,t,g,220.0,251,0
33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,120.0,0,0
71.58,0.0,,,,,0.0,f,f,0,f,p,,0,1
67.75,5.5,u,g,e,z,13.0,t,t,1,t,g,0.0,0,1
23.25,1.0,u,g,c,v,0.835,t,f,0,f,s,300.0,0,1
33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,253.0,857,1
19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140.0,5,0
57.83,7.04,u,g,m,v,14.0,t,t,6,t,g,360.0,1332,1
25.0,11.0,y,p,aa,v,4.5,t,f,0,f,g,120.0,0,0
,0.375,u,g,d,v,0.875,t,f,0,t,s,928.0,0,0
17.58,9.0,u,g,aa,v,1.375,t,f,0,t,g,0.0,0,1
27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,140.0,0,0
34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,520.0,50000,1
42.08,1.04,u,g,w,v,5.0,t,t,6,t,g,500.0,10000,1
27.58,3.0,u,g,m,v,2.79,f,t,1,t,g,280.0,10,0
25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200.0,0,0
23.42,1.0,u,g,c,v,0.5,f,f,0,t,s,280.0,0,0
19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,80.0,484,0
42.25,1.75,y,p,,,0.0,f,f,0,,g,150.0,1,0
36.25,5.0,u,g,c,bb,2.5,t,t,6,f,g,0.0,367,1
22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,128.0,0,1
40.92,2.25,y,p,x,h,10.0,t,f,0,t,g,176.0,0,0
18.67,5.0,u,g,q,,0.375,t,t,2,f,g,0.0,38,0
38.58,3.335,u,g,w,v,4.0,t,t,14,f,g,383.0,1344,1
48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,181.0,1655,1
20.5,10.0,y,p,c,v,2.5,t,f,0,f,s,40.0,0,1
36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,232.0,113,1
33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,0.0,2,0
21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,150.0,8,1
27.75,0.585,y,p,,v,0.25,t,t,2,f,g,260.0,500,1
28.67,9.335,u,g,q,h,5.665,t,t,6,,g,381.0,168,1
35.42,12.0,u,g,q,,14.0,t,t,8,f,g,0.0,6590,1
19.58,0.665,u,g,w,,1.665,f,f,0,f,g,220.0,5,0
45.33,1.0,u,g,q,v,0.125,f,f,0,t,g,263.0,0,0
21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,80.0,9800,1
30.17,1.085,,p,c,v,0.04,f,f,0,f,g,170.0,179,0
16.17,0.04,u,g,c,v,0.04,f,f,0,f,g,0.0,0,1
15.75,0.375,u,g,c,v,1.0,f,f,0,f,g,120.0,18,0
25.25,12.5,u,g,d,v,1.0,f,f,0,t,g,180.0,1062,0
35.58,0.75,u,g,k,v,1.5,f,f,0,t,g,231.0,0,0
36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,309.0,2,0
28.58,3.75,u,g,c,v,0.25,f,t,1,t,g,40.0,154,0
33.17,2.25,y,p,cc,v,3.5,f,f,0,t,g,200.0,141,0
42.75,3.0,u,g,i,bb,1.0,t,f,0,f,g,0.0,200,0
32.67,9.0,y,p,w,h,5.25,t,f,0,t,g,154.0,0,1
22.67,0.75,u,g,c,v,2.0,f,t,2,t,g,200.0,394,0
24.42,12.335,u,g,q,h,1.585,t,f,0,t,g,120.0,0,1
17.25,3.0,u,g,k,v,0.04,f,f,0,t,g,160.0,40,0
22.83,3.0,u,g,,v,1.29,t,t,1,f,g,260.0,800,1
22.75,11.0,u,g,q,v,2.5,t,t,7,,g,100.0,809,1
31.25,2.835,u,g,ff,ff,0.0,f,t,5,f,g,176.0,146,0
32.08,4.0,y,p,cc,v,1.5,f,f,0,t,g,120.0,0,0
29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,168.0,0,1
,0.5,u,g,c,bb,0.835,t,f,0,t,s,320.0,0,0
43.17,5.0,u,g,i,,2.25,f,f,0,t,g,141.0,0,0
24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280.0,1,0
23.08,11.5,u,g,,h,2.125,t,t,11,t,g,290.0,284,1
21.75,1.75,y,p,j,j,0.0,f,f,0,f,g,160.0,0,0
28.67,14.5,u,g,d,v,0.125,f,f,0,f,g,0.0,286,0
20.08,0.25,u,g,q,v,0.125,f,f,0,f,g,200.0,0,0
27.83,1.5,,g,w,v,2.0,t,t,11,t,g,434.0,35,1
18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,80.0,0,0
54.83,15.5,u,g,e,z,0.0,t,t,20,f,g,152.0,130,0
20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,0.0,0,1
54.42,0.5,y,,k,h,3.96,t,f,0,f,g,180.0,314,1
27.67,2.0,u,g,x,h,1.0,t,t,4,f,g,140.0,7544,1
30.17,0.5,u,g,c,v,1.75,t,t,11,f,g,32.0,540,1
28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,371.0,0,1
29.83,1.25,y,p,k,v,0.25,f,f,0,f,g,224.0,0,0
22.5,8.46,y,p,x,v,2.46,f,f,0,f,g,164.0,0,1
20.83,8.5,u,g,c,v,0.165,f,f,0,f,g,0.0,351,0
39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,200.0,300,1
,7.0,u,g,e,z,0.0,f,f,0,f,g,0.0,12,0
40.92,0.5,y,p,m,v,0.5,f,f,0,t,g,130.0,0,0
36.75,4.71,u,,ff,ff,0.0,f,f,0,f,g,160.0,0,0
25.58,0.335,u,g,k,h,3.5,f,f,0,t,g,340.0,0,0
23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,60.0,2184,1
19.42,7.25,u,g,m,v,0.04,f,t,1,f,g,100.0,1,0
23.17,0.0,u,g,cc,,0.085,t,f,0,f,g,0.0,0,1
38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,160.0,0,0
30.58,2.71,y,p,m,v,0.125,f,f,0,t,s,80.0,0,0
57.08,19.5,,g,c,v,5.5,t,t,7,f,g,0.0,3000,1
22.33,11.0,u,g,w,v,2.0,t,t,1,f,g,80.0,278,1
50.25,0.835,u,g,aa,v,0.5,f,f,0,t,g,240.0,117,0
45.17,1.5,u,g,c,v,2.5,t,f,0,t,g,140.0,0,0
22.67,0.165,u,g,c,j,2.25,f,f,0,t,s,0.0,0,1
,25.21,u,g,q,h,0.21,t,t,1,f,g,760.0,90,0
39.42,1.71,y,p,m,v,0.165,f,f,0,f,s,400.0,0,0
25.67,2.21,y,p,aa,v,4.0,t,f,0,f,g,188.0,0,0
38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,520.0,196,1
16.08,0.75,u,g,c,v,1.75,t,t,5,t,g,352.0,690,1
22.67,2.54,y,p,c,h,2.585,t,f,0,f,g,0.0,0,1
34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160.0,0,0
39.17,1.625,u,g,c,v,1.5,t,t,10,f,g,186.0,4700,1
35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,515.0,500,1
26.17,2.0,u,g,j,j,0.0,f,f,0,t,g,276.0,1,0
22.25,1.25,y,p,ff,ff,3.25,f,f,0,f,g,280.0,0,0
37.75,5.5,u,g,q,,0.125,t,f,0,t,g,228.0,0,1
21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,160.0,0,0
33.67,2.165,u,g,c,v,1.5,f,f,0,f,p,120.0,0,0
23.33,1.5,u,g,c,h,1.415,t,f,0,f,g,422.0,200,1
20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200.0,1000,0
27.83,1.5,u,g,w,v,2.25,f,t,1,t,g,100.0,3,0
41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,145.0,0,1
39.08,4.0,u,g,c,v,3.0,f,f,0,f,g,480.0,0,0
22.5,11.0,y,p,q,v,3.0,t,f,0,t,g,268.0,0,0
28.17,0.585,u,g,aa,v,0.04,f,f,0,f,g,260.0,1004,0
22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,144.0,0,0
